Abr,Full,City,City.full,City.Weath.Station.Code,State,Country,mlb_abr,Nickname,Abr_2,FanGraphs,LotoQc,LotoQc2,MLB.com_2,MLB2
ARI,Arizona Diamondbacks,ARI,phoenix,KPHX,AZ,US,ARI,Diamondbacks,ARI,Diamondbacks,Arizona,Arizona,D-backs,None
ATL,Atlanta Braves,ATL,atlanta,KATL,GA,US,ATL,Braves,ATL,Braves,Atlanta,Atlanta,None,None
BAL,Baltimore Orioles,BAL,baltimore,KBWI,MD,US,BAL,Orioles,BAL,Orioles,Baltimore,Baltimore,None,None
BOS,Boston Red Sox,BOS,Boston,KBOS,MA,US,BOS,Red Sox,BOS,Red Sox,Boston,Boston,None,None
CUB,Chicago Cubs,CHN,chicago,KMDW,IL,US,CHC,Cubs,CUB,Cubs,Chicago-C,Chicago-C,None,None
CHW,Chicago White Sox,CHA,chicago,KMDW,IL,US,CWS,White Sox,CHW,White Sox,Chicago-WS,Chicago-WS,None,None
CIN,Cincinnati Reds,CIN,florence,KCVG,KY,US,CIN,Reds,CIN,Reds,Cincinnati,Cincinnati,None,None
CLE,Cleveland Indians,CLE,cleveland,KCLE,oh,US,CLE,Indians,CLE,Indians,Cleveland,Cleveland,None,None
COL,Colorado Rockies,COL,denver,KDEN,co,US,COL,Rockies,COL,Rockies,Colorado Rockies,Colorado,None,None
DET,Detroit Tigers,DET,detroit,KDET,mi,US,DET,Tigers,DET,Tigers,Detroit,Detroit,None,None
HOU,Houston Astros,HOU,houston,KHOU,tx,US,HOU,Astros,HOU,Astros,Houston,Houston,None,None
KCR,Kansas City Royals,KCA,kansas-city,KMCI,mo,US,KC,Royals,KAN,Royals,Kansas City,Kansas City,None,None
LAA,LA Angels of Anaheim,ANA,anaheim,KSNA,ca,US,LAA,Angels,LAA,Angels,None,None,None,None
LAA,Los Angeles Angels,ANA,anaheim,KSNA,ca,US,LAA,Angels,LAA,Angels,Los Angeles-A,Los Angeles-A,None,None
LAD,Los Angeles Dodgers,LAN,los-angeles,KBUR,ca,US,LAD,Dodgers,LOS,Dodgers,Los Angeles-D,Los Angeles-D,None,LA Dodgers
MIA,Miami Marlins,MIA,miami,KMIA,fl,US,MIA,Marlins,MIA,Marlins,None,None,None,None
MIL,Milwaukee Brewers,MIL,milwaukee,KMKE,wi,US,MIL,Brewers,MIL,Brewers,Milwaukee,Milwaukee,None,None
MIN,Minnesota Twins,MIN,minneapolis,KMSP,mn,US,MIN,Twins,MIN,Twins,Minnesota,Minnesota,None,None
NYM,New York Mets,NYN,new-york-city,KLGA,ny,US,NYM,Mets,NYM,Mets,New York-M,New York-M,None,NY Mets
NYY,New York Yankees,NYA,new-york-city,KLGA,ny,US,NYY,Yankees,NYY,Yankees,New York-Y,New York-Y,None,NY Yankees
OAK,Oakland Athletics,OAK,oakland,KOAK,ca,US,OAK,Athletics,OAK,Athletics,None,None,None,Oakland
PHI,Philadelphia Phillies,PHI,philadelphia,KPHL,pa,US,PHI,Phillies,PHI,Phillies,Philadelphie,Philadelphie,None,Philadelphia
PIT,Pittsburgh Pirates,PIT,pittsburgh,KPIT,pa,US,PIT,Pirates,PIT,Pirates,Pittsburgh,Pittsburgh,None,None
SDP,San Diego Padres,SDN,san-diego,KSAN,ca,US,SD,Padres,SDG,Padres,San Diego,San Diego,None,None
SEA,Seattle Mariners,SEA,seattle,KSEA,wa,US,SEA,Mariners,SEA,Mariners,Seattle,Seattle,None,None
SFG,San Francisco Giants,SFN,san-francisco,KSFO,ca,US,SF,Giants,SFO,Giants,San Francisco,San Francisco,None,None
STL,St. Louis Cardinals,SLN,st.-louis,KSTL,mo,US,STL,Cardinals,STL,Cardinals,Saint Louis,Saint-Louis Cardinals,None,St. Louis
STL,St.Louis Cardinals,SLN,st.-louis,KSTL,mo,US,STL,Cardinals,STL,Cardinals,None,None,None,None
TBR,Tampa Bay Rays,TBA,st.-petersburg,KPIE,fl,US,TB,Rays,TAM,Rays,Tampa Bay,Tampa Bay,None,None
TEX,Texas Rangers,TEX,arlington,KDFW,tx,US,TEX,Rangers,TEX,Rangers,Texas,Texas,None,None
TOR,Toronto Blue Jays,TOR,toronto,CYTZ,ca,CA,TOR,Blue Jays,TOR,Blue Jays,Toronto,Toronto,None,None
WSN,Washington Nationals,WAS,washington,KDCA,dc,US,WSH,Nationals,WAS,Nationals,Washington,Washington,None,None
MIA,Florida Marlins,MIA,miami,KMIA,fl,US,MIA,Marlins,MIA,Marlins,Miami,Miami,None,None
TBR,Tampa Bay Devil Rays,TBA,st.-petersburg,KPIE,fl,US,TB,Rays,TBR,Rays,None,None,None,None
FLA,Florida Marlins,MIA,miami,KMIA,fl,US,MIA,Marlins,FLA,Marlins,None,None,None,None
TBD,Tampa Bay Devil Rays,TBA,st.-petersburg,KPIE,fl,US,TB,Rays,TBD,Rays,None,None,None,None